time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
cpdf-transform,28027014.,0.,28027020.,0.,28027018.,0.,27860239.,0.,27953626.,0.
frama-c-deflate,,,,,,,,,186968332.,24588.2167715
frama-c-idct,,,,,,,,,2650605.,nan
frama-c-monocypher,,,,,,,,,2158730.,nan
jsontrip-sample,26463.,0.,26481.,0.,26478.,0.,29441.,0.,29376.,0.
kb,4817857.,0.,4851134.,0.,4817598.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644408.,nan,4644391.,nan,4644391.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266462.,0.,266466.,0.,265899.,0.,280169.,0.,278186.,0.
menhir-fancy,273054.,0.,272105.,0.,272102.,0.,328731.,0.,328749.,0.
menhir-list-errors,1131344161.,nan,1136597006.,nan,,,,,1151389119.,0.
menhir-sql,56243845.,nan,55248638.,nan,55248631.,nan,56164943.,0.,56163401.,0.
menhir-standard,243291.,0.,242342.,0.,242338.,0.,271961.,0.,274012.,0.
menhir-sysver,435455415.,nan,435451292.,nan,,,,,442033173.,0.
minilight,10556471.,0.,10553812.,0.,10557519.,0.,10642310.,0.,10641824.,0.
numal-durand-kerner-aberth,227974.,0.,227971.,0.,227979.,0.,237996.,0.,227630.,0.
numal-fft,139784459.,0.,139784463.,0.,139784461.,0.,140022140.,0.,140272143.,0.
numal-k-means,526355.,0.,526364.,0.,526364.,0.,536219.,0.,536219.,0.
numal-levinson-durbin,240820090.,0.,240820094.,0.,240820094.,0.,250070736.,0.,250064165.,0.
numal-lu-decomposition,4624733.,0.,4624734.,0.,4624732.,0.,7775146.,0.,7775111.,0.
numal-naive-multilayer,1256512.,0.,1259640.,0.,1256522.,0.,1284119.,0.,1282790.,0.
numal-qr-decomposition,2594693.,0.,2594492.,0.,2594502.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,200000215.,0.,200000219.,0.,200000217.,0.,200000141.,0.,200000139.,0.
numal-simple_access,208961133.,0.,208961137.,0.,208961135.,0.,220001889.,0.,220001887.,0.
patdiff,,,,,,,8896447.,0.,,
sequence,37286.,0.,37284.,0.,37288.,0.,37749.,0.,38258.,0.
sequence-cps,201397.,0.,201401.,0.,201401.,0.,214872.,0.,222795.,0.
setrip,13191.,0.,13231.,0.,13231.,0.,13279.,0.,13269.,0.
setrip-smallbuf,13259.,0.,13317.,0.,13317.,0.,13279.,0.,13241.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,897.,0.,903.,0.,901.,0.,941.,0.,939.,0.
bdd,444232.,0.,444236.,0.,444234.,0.,477943.,0.,525957.,0.
cpdf-merge,81093930.,nan,81102937.,nan,81048705.,nan,82892080.,0.,83597842.,0.
cpdf-reformat,64637397.,nan,64637309.,nan,64637341.,nan,65460559.,0.,65204357.,0.
cpdf-squeeze,120753140.,0.,120753073.,0.,120753108.,0.,123070655.,0.,123068445.,0.
cpdf-transform,26096995.,0.,26097001.,0.,26096999.,0.,25930310.,0.,26023697.,0.
frama-c-deflate,,,,,,,,,121373818.667,12738.1243648
frama-c-idct,,,,,,,,,2253258.,nan
frama-c-monocypher,,,,,,,,,1851684.,nan
jsontrip-sample,9989.,0.,10007.,0.,10004.,0.,13053.,0.,12988.,0.
kb,4817779.,0.,4851056.,0.,4817520.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644330.,nan,4644313.,nan,4644313.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266384.,0.,266388.,0.,265821.,0.,280169.,0.,278186.,0.
menhir-fancy,141602.,0.,140835.,0.,140832.,0.,179489.,0.,179507.,0.
menhir-list-errors,411869596.,nan,417115774.,nan,,,,,431254687.,0.
menhir-sql,46252342.,nan,45544086.,nan,45544079.,nan,46172576.,0.,46171034.,0.
menhir-standard,106790.,0.,106023.,0.,106019.,0.,123373.,0.,125424.,0.
menhir-sysver,324380059.,nan,324378418.,nan,,,,,329438589.,0.
minilight,10539667.,0.,10537008.,0.,10540715.,0.,10625592.,0.,10625106.,0.
numal-durand-kerner-aberth,227896.,0.,227893.,0.,227901.,0.,237996.,0.,227630.,0.
numal-fft,134541495.,0.,134541499.,0.,134541497.,0.,134779254.,0.,135029257.,0.
