time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
frama-c-deflate,,,,,,,121375224.,5164.10970062
frama-c-idct,,,,,,,2253186.,nan
jsontrip-sample,9989.,0.,10004.,0.,13053.,0.,12988.,0.
kb,4817779.,0.,4817520.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644330.,nan,4644313.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266384.,0.,265821.,0.,280169.,0.,278186.,0.
menhir-fancy,140819.,0.,140832.,0.,179489.,0.,179507.,0.
menhir-list-errors,417115793.,nan,,,,,431254687.,0.
menhir-sql,45544087.,nan,45544079.,nan,46172576.,0.,46171034.,0.
menhir-standard,106007.,0.,106019.,0.,123373.,0.,125424.,0.
menhir-sysver,324378340.,nan,,,,,329438589.,0.
minilight,10539667.,0.,10540715.,0.,10625592.,0.,10625106.,0.
numal-durand-kerner-aberth,227896.,0.,227901.,0.,237996.,0.,227630.,0.
numal-fft,134541495.,0.,134541497.,0.,134779254.,0.,135029257.,0.
numal-k-means,351080.,0.,351089.,0.,361022.,0.,361022.,0.
numal-levinson-durbin,33716.,0.,33720.,0.,47317.,0.,40746.,0.
numal-lu-decomposition,156739.,0.,156738.,0.,297668.,0.,297633.,0.
numal-naive-multilayer,1256082.,0.,1256092.,0.,1283767.,0.,1282438.,0.
numal-qr-decomposition,2594615.,0.,2594424.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,136.,0.,138.,0.,140.,0.,138.,0.
numal-simple_access,188961054.,0.,188961056.,0.,200001888.,0.,200001886.,0.
patdiff,,,,,6522407.,0.,6836029.,0.
sequence,37208.,0.,37210.,0.,37749.,0.,38258.,0.
sequence-cps,201319.,0.,201323.,0.,214872.,0.,222795.,0.
setrip,4912.,0.,4952.,0.,5086.,0.,5076.,0.
setrip-smallbuf,4980.,0.,5038.,0.,5086.,0.,5048.,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,491520.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,565248.,0.,650240.,0.
cpdf-merge,43087817.,nan,41250573.,nan,49650688.,0.,43174400.,0.
cpdf-reformat,30748513.,nan,30748513.,nan,32645632.,0.,28387328.,0.
cpdf-squeeze,39039677.,0.,39037390.,0.,43174400.,0.,37542912.,0.
cpdf-transform,15729863.,0.,15729863.,0.,19150848.,0.,14480384.,0.
frama-c-deflate,,,,,,,88571904.,0.
frama-c-idct,,,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,565248.,0.,491520.,0.
kb,442368.,0.,446464.,0.,587264.,0.,565248.,0.
kb-no-exc,507904.,nan,507904.,nan,628224.,0.,646656.,0.
lexifi-g2pp,156643.,0.,152547.,0.,593408.,0.,593408.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.,491520.,0.
menhir-list-errors,416537958.,nan,,,,,616220160.,0.
menhir-sql,48966283.,nan,48192139.,nan,49650688.,0.,43174400.,0.
menhir-standard,323978.,0.,323978.,0.,491520.,0.,491520.,0.
menhir-sysver,95526139.,nan,,,,,91529728.,0.
minilight,1106522.,0.,1106522.,0.,860672.,0.,748032.,0.
numal-durand-kerner-aberth,49152.,0.,49152.,0.,565248.,0.,565248.,0.
numal-fft,55193618.,0.,55197714.,0.,85220352.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,596992.,0.,596992.,0.
