time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
sequence-cps,1502243945.,0.,1502243949.,0.,1502243949.,0.,1502243947.,0.,1501298736.,0.,1501299851.,0.
setrip,168203678.,0.,169514388.,0.,169514388.,0.,161912277.,0.,170650262.,0.,170650322.,0.
setrip-smallbuf,170562989.,0.,171087555.,0.,171087555.,0.,161388492.,0.,170650237.,0.,170650267.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,975.,0.,981.,0.,979.,0.,975.,0.,941.,0.,939.,0.
bdd,583194.,0.,583198.,0.,583196.,0.,583194.,0.,616827.,0.,664841.,0.
cpdf-merge,91785981.,nan,91601903.,nan,90412572.,nan,91649135.,nan,94605527.,0.,95303277.,0.
cpdf-reformat,75226891.,nan,75226803.,nan,75226835.,nan,75226856.,nan,76049963.,0.,75793761.,0.
cpdf-squeeze,132492452.,0.,132492385.,0.,132492420.,0.,132687652.,0.,138741284.,0.,138739074.,0.
cpdf-transform,28027014.,0.,28027020.,0.,28027018.,0.,28027040.,0.,27860239.,0.,27953626.,0.
frama-c-deflate,,,,,,,,,,,186977713.,4178.57403907
frama-c-idct,,,,,,,,,,,2650605.,nan
frama-c-monocypher,,,,,,,,,,,2158745.,nan
jsontrip-sample,26463.,0.,26481.,0.,26478.,0.,26499.,0.,29441.,0.,29376.,0.
kb,4817857.,0.,4851134.,0.,4817598.,0.,4807082.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644408.,nan,4644391.,nan,4644391.,nan,4644410.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266462.,0.,266466.,0.,265899.,0.,266462.,0.,280169.,0.,278186.,0.
menhir-fancy,273054.,0.,272105.,0.,272102.,0.,273092.,0.,328731.,0.,328749.,0.
menhir-list-errors,1131344161.,nan,1136597006.,nan,,,1131344754.,nan,,,1151389119.,0.
menhir-sql,56243845.,nan,55248638.,nan,55248631.,nan,55254451.,nan,56164943.,0.,56163401.,0.
menhir-standard,243291.,0.,242342.,0.,242338.,0.,243336.,0.,271961.,0.,274012.,0.
menhir-sysver,435455415.,nan,435451292.,nan,,,435462379.,nan,,,442033173.,0.
minilight,10556471.,0.,10553812.,0.,10557519.,0.,10554001.,0.,10642310.,0.,10641824.,0.
numal-durand-kerner-aberth,227974.,0.,227971.,0.,227979.,0.,227979.,0.,237996.,0.,227630.,0.
numal-fft,139784459.,0.,139784463.,0.,139784461.,0.,139784459.,0.,140022140.,0.,140272143.,0.
numal-k-means,526355.,0.,526364.,0.,526364.,0.,526357.,0.,536219.,0.,536219.,0.
numal-levinson-durbin,240820090.,0.,240820094.,0.,240820094.,0.,240820088.,0.,250070736.,0.,250064165.,0.
numal-lu-decomposition,4624733.,0.,4624734.,0.,4624732.,0.,4624730.,0.,7775146.,0.,7775111.,0.
numal-naive-multilayer,1256512.,0.,1259640.,0.,1256522.,0.,1256500.,0.,1284119.,0.,1282790.,0.
numal-qr-decomposition,2594693.,0.,2594492.,0.,2594502.,0.,2594976.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,200000215.,0.,200000219.,0.,200000217.,0.,200000215.,0.,200000141.,0.,200000139.,0.
