time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
numal-simple_access,866.,0.,866.,0.,866.,0.,2445.,0.
patdiff,,,,,,,149.,0.
sequence,2853.,0.,2853.,0.,2853.,0.,2898.,0.
sequence-cps,5725.,0.,5725.,0.,5725.,0.,6002.,0.
setrip,639.,0.,639.,0.,610.,0.,654.,0.
setrip-smallbuf,645.,0.,645.,0.,608.,0.,654.,0.

major_collections,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,1.,0.,1.,0.,0.,0.
bdd,5.,0.,5.,0.,5.,0.,4.,0.
cpdf-merge,30.,nan,30.,nan,30.,nan,24.,0.
cpdf-reformat,29.,nan,29.,nan,29.,nan,25.,0.
cpdf-squeeze,36.,0.,36.,0.,36.,0.,33.,0.
cpdf-transform,15.,0.,15.,0.,15.,0.,13.,0.
jsontrip-sample,2.,0.,2.,0.,2.,0.,4.,0.
kb,71.,0.,67.,0.,65.,0.,67.,0.
kb-no-exc,56.,nan,56.,nan,57.,nan,43.,0.
lexifi-g2pp,11.,0.,11.,0.,11.,0.,8.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.,1.,0.
menhir-list-errors,36.,nan,,,37.,nan,,
menhir-sql,15.,nan,15.,nan,15.,nan,16.,0.
menhir-standard,1.,0.,1.,0.,1.,0.,1.,0.
menhir-sysver,38.,nan,,,38.,nan,,
minilight,38.,0.,38.,0.,38.,0.,53.,0.
numal-durand-kerner-aberth,48.,0.,47.,0.,47.,0.,86.,0.
numal-fft,10.,0.,10.,0.,10.,0.,4.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,0.,0.
numal-levinson-durbin,72.,0.,72.,0.,72.,0.,3840.,0.
numal-lu-decomposition,3.,0.,3.,0.,3.,0.,5.,0.
numal-naive-multilayer,132.,0.,129.,0.,129.,0.,143.,0.
numal-qr-decomposition,9.,0.,9.,0.,9.,0.,50.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,0.,0.
numal-simple_access,5.,0.,5.,0.,5.,0.,6.,0.
patdiff,,,,,,,10.,0.
sequence,156.,0.,156.,0.,165.,0.,70.,0.
sequence-cps,961.,0.,961.,0.,961.,0.,550.,0.
setrip,13.,0.,13.,0.,12.,0.,6.,0.
setrip-smallbuf,13.,0.,13.,0.,12.,0.,6.,0.

compactions,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
