time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
numal-qr-decomposition,1263373.,0.,1263179.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,209263875.,0.,209259779.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,,,3861504.,0.
sequence,32768.,0.,36864.,0.,36864.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,32768.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,65539.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,65539.,0.,565248.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,1.,0.,1.,0.,44.,0.
bdd,291.,0.,291.,0.,291.,0.,294.,0.
cpdf-merge,733.,nan,730.,nan,714.,nan,771.,0.
cpdf-reformat,1694.,nan,1694.,nan,1694.,nan,1726.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1476.,0.,1561.,0.
cpdf-transform,214.,0.,214.,0.,214.,0.,221.,0.
jsontrip-sample,17.,0.,17.,0.,17.,0.,29.,0.
kb,341.,0.,343.,0.,341.,0.,387.,0.
kb-no-exc,143.,nan,143.,nan,143.,nan,170.,0.
lexifi-g2pp,6038.,0.,6038.,0.,6023.,0.,6407.,0.
menhir-fancy,5.,0.,5.,0.,5.,0.,9.,0.
menhir-list-errors,9102.,nan,9282.,nan,,,,
menhir-sql,3913.,nan,3867.,nan,3867.,nan,3966.,0.
menhir-standard,4.,0.,4.,0.,4.,0.,5.,0.
menhir-sysver,31186.,nan,31186.,nan,,,,
minilight,36863.,0.,36851.,0.,36867.,0.,37210.,0.
numal-durand-kerner-aberth,290.,0.,290.,0.,290.,0.,338.,0.
numal-fft,183.,0.,183.,0.,183.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,391.,0.
numal-levinson-durbin,3676.,0.,3676.,0.,3676.,0.,6385.,0.
numal-lu-decomposition,20.,0.,20.,0.,20.,0.,2098.,0.
numal-naive-multilayer,8253.,0.,8273.,0.,8253.,0.,8352.,0.
numal-qr-decomposition,6274.,0.,6273.,0.,6273.,0.,6560.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,763.142857143,0.377964473009
numal-simple_access,866.,0.,866.,0.,866.,0.,2445.,0.
patdiff,,,,,,,149.,0.
sequence,2853.,0.,2853.,0.,2853.,0.,2898.,0.
sequence-cps,5725.,0.,5725.,0.,5725.,0.,6002.,0.
setrip,634.,0.,639.,0.,639.,0.,654.,0.
setrip-smallbuf,643.,0.,645.,0.,645.,0.,654.,0.

major_collections,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,1.,0.,1.,0.,0.,0.
bdd,5.,0.,5.,0.,5.,0.,4.,0.
cpdf-merge,30.,nan,30.,nan,30.,nan,24.,0.
cpdf-reformat,29.,nan,29.,nan,29.,nan,25.,0.
cpdf-squeeze,36.,0.,36.,0.,36.,0.,33.,0.
cpdf-transform,15.,0.,15.,0.,15.,0.,13.,0.
jsontrip-sample,2.,0.,2.,0.,2.,0.,4.,0.
